Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,2020-01-04,60182,55024,846,11568,1828,2531,1560,3503,1066,1094,659,14204,3109,1,1,,,,,,,,,,,,,,,
United States,2020,2,2020-01-11,60720,55735,865,11961,1941,2565,1530,3707,1036,1093,662,13908,3185,0,0,,,,,,,,,,,,,,,
United States,2020,3,2020-01-18,59359,54522,830,11703,1819,2490,1486,3527,993,1123,642,13590,3257,3,2,,,,,,,,,,,,,,,
United States,2020,4,2020-01-25,59151,54401,829,11880,1861,2516,1487,3400,978,1109,673,13605,3181,1,1,,,,,,,,,,,,,,,
United States,2020,5,2020-02-01,58821,54005,813,11961,1828,2477,1418,3313,980,1072,648,13460,3080,0,0,,,,,,,,,,,,,,,
United States,2020,6,2020-02-08,59464,54403,812,11705,1954,2513,1463,3412,973,1136,634,13998,3054,2,1,,,,,,,,,,,,,,,
United States,2020,7,2020-02-15,58799,53962,798,11808,1842,2535,1515,3479,978,1070,645,13635,3086,0,0,,,,,,,,,,,,,,,
United States,2020,8,2020-02-22,58885,53981,782,11779,1878,2515,1462,3451,967,1056,641,13624,3082,5,5,,,,,,,,,,,,,,,
United States,2020,9,2020-02-29,59311,54302,819,11790,1829,2519,1507,3458,1011,1092,709,13702,3124,9,9,,,,,,,,,,,,,,,
United States,2020,10,2020-03-07,59681,54385,813,11714,1860,2508,1610,3467,1004,1072,691,13676,3093,37,33,,,,,,,,,,,,,,,
United States,2020,11,2020-03-14,58663,53533,759,11572,1742,2440,1638,3388,991,1077,689,13431,3165,57,53,,,,,,,,,,,,,,,
United States,2020,12,2020-03-21,59202,54299,844,11738,1832,2511,1748,3382,1018,1104,659,13183,3065,575,538,,,,,,,,,,,,,,,
United States,2020,13,2020-03-28,63020,58237,854,11782,2045,2746,1794,3518,1064,1030,672,13711,3063,3184,3006,,,,,,,,,,,,,,,
United States,2020,14,2020-04-04,72277,67433,951,11595,2297,2868,1867,3537,1030,1036,745,14945,3163,10081,9587,,,,,,,,,,,,,,,
United States,2020,15,2020-04-11,79103,74021,837,11555,2354,2961,1636,3448,1027,1123,719,15766,3192,16253,15448,,,,,,,,,,,,,,,
United States,2020,16,2020-04-18,76783,71891,749,11203,2268,2901,1257,3192,928,1097,717,14577,3205,17118,16223,,,,,,,,,,,,,,,
United States,2020,17,2020-04-25,73894,68754,740,11362,2084,2803,1156,2996,892,986,734,13870,3059,15496,14607,,,,,,,,,,,,,,,
United States,2020,18,2020-05-02,69285,63949,744,11098,1930,2726,1015,2926,853,962,616,12996,3042,13190,12406,,,,,,,,,,,,,,,
