age,sex,year,total,elem4,elem8,hs3,hs4,coll3,coll4,median
25-34,Male,2016,21845,116,468,1427,6386,6015,7432,NA
25-34,Male,2015,21427,166,488,"1,584","6,198","5,920","7,071",NA
25-34,Male,2014,21217,151,512,"1,611","6,323","5,910","6,710",NA
25-34,Male,2013,20816,161,582,"1,747","6,058","5,749","6,519",NA
25-34,Male,2012,20464,161,579,"1,707","6,127","5,619","6,270",NA
25-34,Male,2011,20985,190,657,"1,791","6,444","5,750","6,151",NA
25-34,Male,2010,20689,186,641,"1,866","6,458","5,587","5,951",NA
25-34,Male,2009,20440,184,695,"1,806","6,495","5,508","5,752",NA
25-34,Male,2008,20210,172,714,"1,874","6,356","5,277","5,816",NA
25-34,Male,2007,20024,246,757,"1,930","6,361","5,137","5,593",NA
25-34,Male,2006,19827,218,834,"1,835","6,233","5,336","5,371",NA
25-34,Male,2005,19677,241,769,"1,827","6,216","5,198","5,426",NA
25-34,Male,2004,19598,280,793,"1,723","6,020","5,286","5,495",NA
25-34,Male,2003,19564,216,771,"1,831","6,028","5,252","5,466",NA
25-34,Male,2002,19234,280,809,"1,782","5,751","5,131","5,480",NA
25-34,Male,2001,19330,233,748,"1,677","6,099","5,161","5,411",NA
25-34,Male,2000,18563,155,593,"1,637","5,989","4,870","5,318",NA
25-34,Male,1999,18294,157,616,1724,6114,5052,5260,NA
25-34,Male,1998,19526,190,654,1735,6592,5233,5125,NA
25-34,Male,1997,20039,193,629,2007,6482,5477,5249,NA
25-34,Male,1996,20390,225,601,2055,6701,5536,5274,NA
25-34,Male,1995,20589,229,708,1930,7176,5373,5174,NA
25-34,Male,1994,20873,230,716,2134,7408,5510,4873,NA
25-34,Male,1993,20856,237,679,1986,7604,5308,5041,NA
25-34,Male,1992,21125,231,682,2057,8113,5116,4927,NA
25-34,Male,1991,21319,270,694,2095,8810,4441,5009,12.9
25-34,Male,1990,21462,295,759,2153,8649,4392,5215,12.9
25-34,Male,1989,21461,251,698,2129,8659,4391,5335,12.9
25-34,Male,1988,21277,237,651,2227,8569,4273,5319,12.9
25-34,Male,1987,21142,223,698,2030,8544,4384,5263,12.9
25-34,Male,1986,20956,227,715,1887,8359,4488,5279,12.9
25-34,Male,1985,20184,194,700,1823,7955,4433,5080,12.9
25-34,Male,1984,19876,231,721,1739,7798,4238,5150,12.9
25-34,Male,1983,19438,213,659,1724,7351,4284,5207,13
25-34,Male,1982,19090,182,659,1654,7380,4162,5053,13
25-34,Male,1981,18625,176,733,1679,6991,4185,4863,13
25-34,Male,1980,18051,198,699,1639,6393,4166,4957,13
25-34,Male,1979,16719,197,695,1476,5852,3862,4637,13
25-34,Male,1978,16263,154,717,1526,5701,3698,4471,13.1
25-34,Male,1977,15863,134,672,1625,5634,3403,4396,13
25-34,Male,1976,15266,134,724,1566,5672,3085,4087,12.9
25-34,Male,1975,14776,177,815,1605,5508,2915,3757,12.9
25-34,Male,1974,14222,211,859,1617,5491,2672,3372,12.8
25-34,Male,1973,13638,204,966,1760,5363,2416,2927,12.7
25-34,Male,1972,13030,157,927,1796,5150,2191,2809,12.7
25-34,Male,1971,12596,170,1092,1771,5049,2005,2506,12.6
25-34,Male,1970,12236,189,1063,1896,4833,1842,2412,12.6
25-34,Male,1969,11788,204,1121,1849,4652,1719,2241,12.6
25-34,Male,1968,11381,193,1192,1880,4473,1505,2136,12.5
25-34,Male,1967,10876,170,1209,1814,4187,1522,1973,12.5
25-34,Male,1966,10701,241,1162,1839,4191,1374,1894,12.5
25-34,Male,1965,10693,325,1240,1802,4188,1316,1822,12.5
25-34,Male,1964,10729,297,1344,1962,4008,1306,1812,12.4
25-34,Male,1962,10762,334,1569,2008,3700,1309,1842,12.4
25-34,Male,1960,11184,420,2026,2441,3356,1316,1624,12.2
25-34,Male,1959,11226,416,1822,2238,3682,1256,1658,12.3
25-34,Male,1957,11368,423,2097,2446,3542,1181,1556,12.2
25-34,Male,1952,10936,502,2202,2268,3458,1118,1268,12.1
25-34,Male,1950,11454,631,2705,2426,3250,1117,1037,11.5
25-34,Male,1947,10894,544,2665,2494,3337,993,738,11.7
25-34,Male,1940,10521,779,3932,2220,2049,692,744,9.7
25-34,Female,2016,21918,93,390,1229,4838,6594,8774,NA
25-34,Female,2015,21579,126,375,1354,4767,6500,8457,NA
25-34,Female,2014,21248,135,435,1407,4717,6267,8287,NA
25-34,Female,2013,20981,99,454,1369,4892,6205,7962,NA
25-34,Female,2012,20755,112,484,1372,4847,6145,7795,NA
25-34,Female,2011,20599,128,483,1307,4806,6296,7580,NA
25-34,Female,2010,20396,137,527,1405,4728,6068,7530,NA
25-34,Female,2009,20079,137,531,1395,4856,5901,7258,NA
25-34,Female,2008,19937,111,475,1421,4941,5836,7153,NA
25-34,Female,2007,19843,134,527,1532,5047,5824,6781,NA
25-34,Female,2006,19654,140,577,1538,5069,5894,6435,NA
25-34,Female,2005,19633,173,607,1594,5053,5667,6539,NA
25-34,Female,2004,19603,150,606,1516,5224,5758,6349,NA
25-34,Female,2003,19679,153,598,1503,5364,5734,6325,NA
25-34,Female,2002,19436,153,584,1463,5237,5645,6353,NA
25-34,Female,2001,19536,147,569,1525,5195,5985,6115,NA
25-34,Female,2000,19222,130,542,1415,5557,5831,5750,NA
25-34,Female,1999,19551,122,525,1572,5712,5842,5779,NA
25-34,Female,1998,19828,130,553,1493,5977,5986,5688,NA
25-34,Female,1997,20217,149,533,1615,6227,6047,5643,NA
25-34,Female,1996,20528,195,569,1734,6386,6090,5568,NA
25-34,Female,1995,20800,165,556,1738,6885,6286,5170,NA
25-34,Female,1994,21073,138,581,1923,7075,6404,4953,NA
25-34,Female,1993,21007,143,543,1907,7432,6054,4928,NA
25-34,Female,1992,21368,203,567,2014,7908,5744,4933,NA
25-34,Female,1991,21586,195,629,2085,8693,4841,5143,12.9
25-34,Female,1990,21779,209,653,1889,8986,4927,5112,12.9
25-34,Female,1989,21777,195,654,1885,9242,4681,5119,12.9
25-34,Female,1988,21675,193,657,1869,9319,4801,4836,12.9
25-34,Female,1987,21494,168,662,1965,8995,4772,4932,12.9
25-34,Female,1986,21097,160,644,1910,8952,4616,4813,12.9
25-34,Female,1985,20673,168,627,1880,8794,4547,4657,12.9
25-34,Female,1984,20297,173,649,1904,8634,4319,4621,12.9
25-34,Female,1983,19903,161,665,1941,8452,4285,4398,12.9
25-34,Female,1982,19614,155,713,1942,8512,4140,4148,12.8
25-34,Female,1981,19203,161,698,1986,8427,4013,3918,12.8
25-34,Female,1980,18565,164,725,1932,8087,3777,3879,12.8
25-34,Female,1979,17334,173,685,1977,7486,3553,3460,12.8
25-34,Female,1978,16857,172,742,1989,7292,3311,3351,12.6
25-34,Female,1977,16421,136,710,2088,7212,2995,3280,12.7
25-34,Female,1976,15882,112,784,2054,7248,2731,2954,12.7
25-34,Female,1975,15316,135,833,2139,7037,2489,2686,12.6
25-34,Female,1974,14750,142,796,2145,6871,2383,2413,12.6
25-34,Female,1973,14155,129,884,2154,6830,2037,2121,12.6
25-34,Female,1972,13487,128,862,2184,6485,1899,1926,12.5
25-34,Female,1971,12950,156,919,2212,6183,1816,1663,12.5
25-34,Female,1970,12629,140,876,2355,6096,1648,1512,12.5
25-34,Female,1969,12285,155,965,2291,5941,1481,1451,12.4
25-34,Female,1968,11904,157,1053,2246,5684,1484,1278,12.4
25-34,Female,1967,11512,149,1084,2200,5458,1426,1195,12.4
25-34,Female,1966,11322,186,1047,2319,5355,1273,1134,12.4
25-34,Female,1965,11284,218,1197,2256,5310,1244,1060,12.4
25-34,Female,1964,11269,202,1248,2216,5362,1221,1018,12.4
25-34,Female,1962,11368,263,1367,2363,5115,1243,1017,12.3
25-34,Female,1960,11637,289,1712,2694,4810,1256,875,12.2
25-34,Female,1959,11696,345,1526,2503,5297,1142,822,12.3
25-34,Female,1957,12069,327,1874,2519,5385,1094,795,12.2
25-34,Female,1952,12202,342,2160,2630,5162,1102,784,12.2
25-34,Female,1950,12172,516,2603,2624,4410,1081,714,12.1
25-34,Female,1947,11733,471,2858,2503,4293,915,640,12
25-34,Female,1940,10818,598,3744,2333,2653,862,544,10.3
35-54,Male,2016,40539,443,1336,2903,12021,10217,13620,NA
35-54,Male,2015,40565,469,1416,2987,12401,9996,13296,NA
35-54,Male,2014,40525,489,1459,2992,12246,10199,13139,NA
35-54,Male,2013,40868,409,1464,2962,12417,10473,13142,NA
35-54,Male,2012,41167,462,1525,2927,12869,10439,12944,NA
35-54,Male,2011,41209,447,1292,3027,13250,10339,12854,NA
35-54,Male,2010,41858,446,1367,3227,13824,10311,12682,NA
35-54,Male,2009,42263,500,1458,3278,13644,10670,12713,NA
35-54,Male,2008,42419,507,1490,3228,13625,10711,12858,NA
35-54,Male,2007,42476,491,1433,3480,13737,10359,12976,NA
35-54,Male,2006,42344,549,1472,3356,13660,10608,12701,NA
35-54,Male,2005,42024,547,1476,3063,14017,10429,12491,NA
35-54,Male,2004,41612,577,1323,3157,13238,10636,12682,NA
35-54,Male,2003,41340,538,1372,3282,12903,10622,12622,NA
35-54,Male,2002,41154,513,1333,3063,13133,10739,12373,NA
35-54,Male,2001,40858,488,1368,2974,12784,10827,12417,NA
35-54,Male,2000,40024,479,1288,2845,12845,10716,11854,NA
35-54,Male,1999,39300,470,1290,3101,12544,10233,11664,NA
35-54,Male,1998,38654,486,1333,3284,12239,10098,11214,NA
35-54,Male,1997,37912,486,1370,3143,12326,9713,10870,NA
35-54,Male,1996,36596,520,1319,2877,11749,9514,10526,NA
35-54,Male,1995,35994,529,1368,2781,11223,9305,10784,NA
35-54,Male,1994,34998,545,1383,2621,11009,9073,10369,NA
35-54,Male,1993,33751,478,1316,2660,10983,8624,9687,NA
35-54,Male,1992,32619,472,1368,2750,10670,7968,9389,NA
35-54,Male,1991,31460,530,1624,2612,11092,6430,9169,13
35-54,Male,1990,30623,527,1658,2573,10790,6169,8905,13
35-54,Male,1989,29597,504,1762,2628,10235,5719,8749,13
35-54,Male,1988,28645,498,1725,2654,10100,5327,8340,12.9
35-54,Male,1987,27680,412,1801,2617,9781,5173,7895,12.9
35-54,Male,1986,26925,475,1919,2699,9393,5013,7426,12.9
35-54,Male,1985,26181,501,1928,2726,9210,4502,7314,12.9
35-54,Male,1984,25460,506,2014,2831,8926,4257,6929,12.8
35-54,Male,1983,24796,548,2108,2862,8795,3884,6601,12.8
35-54,Male,1982,24164,530,2302,2989,8609,3757,5977,12.7
35-54,Male,1981,23646,572,2425,3112,8431,3519,5588,12.7
35-54,Male,1980,23373,590,2492,3202,8278,3442,5370,12.7
35-54,Male,1979,22976,545,2612,3194,8232,3306,5090,12.6
35-54,Male,1978,22719,609,2779,3377,8001,3136,4817,12.6
35-54,Male,1977,22445,661,2889,3554,7822,3000,4520,12.5
35-54,Male,1976,22403,730,3004,3473,7904,2969,4323,12.5
35-54,Male,1975,22358,763,3100,3510,7952,2879,4153,12.5
35-54,Male,1974,22367,733,3286,3532,8004,2730,4081,12.6
35-54,Male,1973,22166,716,3413,3586,7836,2714,3901,12.4
35-54,Male,1972,22200,749,3674,3917,7663,2564,3631,12.4
35-54,Male,1971,22474,849,3985,3823,7674,2578,3567,12.3
35-54,Male,1970,22475,834,4208,3876,7612,2555,3390,12.3
35-54,Male,1969,22420,889,4359,4012,7427,2456,3277,12.3
