Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Abbitt,Watkins,Moorman,,,05/21/1908,12/19/1951,M,U.S. Representative,Democrat,VA,4,02/17/1948,01/03/1973,Baptist,White,Professional degree,Law,,,,,Did not serve,,
Abernethy,Thomas,Gerstle,,,05/16/1903,01/23/1953,M,U.S. Representative,Democrat,MS,4,01/03/1945,01/03/1953,Methodist,White,Professional degree,Law,,,,,Did not serve,,
Aiken,George,David,,,08/20/1892,11/19/1984,M,U.S. Senator,Republican,VT,,01/03/1945,01/03/1979,Protestant,White,High School graduate,Agriculture,Misc.,,,,Did not serve,,
Albert,Carl,Bert,,,05/10/1908,02/04/2000,M,U.S. Representative,Democrat,OK,3,01/03/1947,01/03/1977,Methodist,White,Professional degree,Law,,,,,Army,,
Allen,Asa,Leonard,,,01/05/1891,01/05/1969,M,U.S. Representative,Democrat,LA,8,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Education,Law,,,,Did not serve,,
Allen,John,Joseph,Jr.,,11/27/1899,03/07/1995,M,U.S. Representative,Republican,CA,7,01/03/1947,01/03/1959,Not specified,White,Professional degree,Law,,,,,Navy,,
Allen,Leo,Elwood,,,10/05/1898,01/19/1973,M,U.S. Representative,Republican,IL,13,01/03/1945,01/02/1949,Presbyterian,White,Professional degree,Law,,,,,Army,,
Almond,J.,Lindsay,Jr.,,06/15/1898,04/14/1986,M,U.S. Representative,Democrat,VA,6,02/04/1946,04/17/1948,Lutheran,White,Professional degree,Education,Law,,,,Student Army Training Corps,,
Andersen,Herman,Carl,,,01/27/1897,07/26/1978,M,U.S. Representative,Republican,MN,7,01/03/1945,01/03/1963,Lutheran,White,Unknown,Agriculture,,,,,Did not serve,,
Anderson,John,Zuinglius,,,03/22/1904,02/09/1981,M,U.S. Representative,Republican,CA,8,01/03/1945,01/03/1953,Not specified,White,High School graduate,Agriculture,,,,,Did not serve,,
Andresen,August,Herman,,,10/11/1890,01/14/1958,M,U.S. Representative,Republican,MN,1,01/03/1945,01/14/1958,Not specified,White,Professional degree,Agriculture,Business or banking,,,,Home Guards-Minnesota,,
Andrews,George,William,,,12/12/1906,12/25/1971,M,U.S. Representative,Democrat,AL,3,03/14/1944,01/03/1963,Baptist,White,Professional degree,Law,,,,,Navy Reserve,,
Andrews,Walter,Gresham,,,07/16/1889,03/05/1949,M,U.S. Representative,Republican,NY,42,01/03/1945,01/03/1949,Not specified,White,Professional degree,Business or banking,Medicine,,,,Army,,
Angell,Homer,Daniel,,,01/12/1875,03/31/1968,M,U.S. Representative,Republican,OR,3,01/03/1945,01/03/1955,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Arends,Leslie,Cornelius,,,09/27/1895,07/17/1985,M,U.S. Representative,Republican,IL,17,01/03/1945,01/02/1973,Methodist,White,High School graduate,Agriculture,Business or banking,,,,Navy,,
Arnold,Samuel,Washington,,,09/21/1879,12/18/1961,M,U.S. Representative,Republican,MO,1,01/03/1945,01/03/1949,Presbyterian,White,Bachelor's degree,Business or banking,Education,,,,Did not serve,,
Auchincloss,James,Coats,,,01/19/1885,10/02/1976,M,U.S. Representative,Republican,NJ,3,01/03/1945,01/03/1965,Protestant,White,Bachelor's degree,Business or banking,,,,,National Guard-New York,,
Bakewell,Claude,Ignatius,,,08/09/1912,03/18/1987,M,U.S. Representative,Republican,MO,11,01/03/1947,01/03/1949,Not specified,White,Professional degree,Law,,,,,Navy,,
Baldwin,Raymond,Earl,,,08/31/1893,10/04/1986,M,U.S. Senator,Republican,CT,,01/03/1947,12/16/1949,Episcopalian,White,Professional degree,Law,,,,,Navy,,
Ball,Joseph,Hurst,,,11/03/1905,12/18/1993,M,U.S. Senator,Republican,MN,,01/06/1943,01/03/1949,Not specified,White,High School graduate,Journalism,,,,,Did not serve,,
Banta,Parke,Monroe,,,11/21/1891,05/12/1970,M,U.S. Representative,Republican,MO,8,01/03/1947,01/03/1949,Not specified,White,Professional degree,Law,,,,,Army,,
Barden,Graham,Arthur,,,09/25/1896,01/29/1967,M,U.S. Representative,Democrat,NC,3,01/03/1945,01/03/1961,Presbyterian,White,Professional degree,Law,,,,,Navy,,
Barkley,Alben,William,,,11/24/1877,04/30/1956,M,U.S. Senator,Democrat,KY,,03/04/1927,01/19/1949,Not specified,White,Unknown,Law,,,,,Did not serve,,
Barrett,Frank,A.,,,11/10/1892,05/30/1962,M,U.S. Representative,Republican,WY,AL,01/03/1943,12/31/1950,Not specified,White,Professional degree,Agriculture,Law,,,,Army,,
Bates,George,Joseph,,,02/25/1891,11/01/1949,M,U.S. Representative,Republican,MA,6,01/03/1945,11/01/1949,Not specified,White,High School graduate,Public service/politics,,,,,Did not serve,,
Bates,Joseph,Bengal,,,10/29/1893,09/10/1965,M,U.S. Representative,Democrat,KY,8,01/03/1945,01/03/1953,Not specified,White,Bachelor's degree,Education,,,,,Did not serve,,
Battle,Laurie,Calvin,,,05/10/1912,05/02/2000,M,U.S. Representative,Democrat,AL,9,01/03/1947,01/03/1955,Methodist,White,Master's degree,Business or banking,Congressional Aide,Education,,,Army,,
