ay,year,n_schools,fy_enrollment,fy_male,fy_female,jd_total,jd_male,jd_female,tot_enrolled,jd_llb_awarded
2015-2016,2015,NA,37107,NA,NA,NA,NA,NA,NA,NA
2014-2015,2014,NA,37071,NA,NA,NA,NA,NA,NA,NA
2013-2014,2013,NA,39675,,NA,NA,NA,NA,NA,NA
2012 - 2013,2012,201,44481,23229,21252,139055,73668,65387,150113,46478
2011 - 2012,2011,201,48697,25899,22798,146288,78026,68262,156458,44495
2010 - 2011,2010,200,52488,28266,24182,147525,78516,69009,157298,44258
2009 - 2010,2009,200,51646,27341,24305,145239,76737,68502,154549,44004
2008 - 2009,2008,200,49414,26007,23407,142922,75954,66968,152033,43588
2007 - 2008,2007,198,49082,25864,23218,141719,75523,66196,150031,43518
2006 - 2007,2006,195,48937,26322,22615,141031,74946,66085,148698,43920
2005 - 2006,2005,191,48132,25550,22582,140298,73685,66613,148273,42673
2004 - 2005,2004,188,48239,25335,22904,140376,72938,67438,148169,40023
2003 - 2004,2003,187,48867,25499,23368,137676,70649,67027,145088,38874
2002 - 2003,2002,186,48433,24846,23587,132885,67706,65179,140612,38605
2001 - 2002,2001,184,45070,22816,22254,127610,65134,62476,135091,37909
2000 - 2001,2000,183,43518,22019,21499,125173,64540,60633,132464,38157
1999 - 2000,1999,182,43152,22144,21008,125184,65822,59362,132276,39071
1998 - 1999,1998,181,42804,22485,20319,125627,67675,57952,131833,39455
1997 - 1998,1997,178,42186,22777,19409,125886,68971,56915,131801,40114
1996 - 1997,1996,179,43245,23843,19402,128623,71500,57123,134949,39920
1995 - 1996,1995,178,43676,24214,19462,129397,72436,56961,135595,39271
1994 - 1995,1994,177,44298,24986,19312,128989,73181,55808,134784,39710
1993 - 1994,1993,176,43644,24585,19059,127802,72668,55134,133339,40213
1992 - 1993,1992,166,42793,24468,18325,128212,63568,64644,133783,39425
1991 - 1992,1991,176,44050,25277,18773,129580,74470,55110,135157,38800
1990 - 1991,1990,175,44104,25512,18592,127261,73164,54097,132433,36385
1989 - 1990,1989,175,43826,25104,18722,124471,71358,53113,129698,35520
1988 - 1989,1988,174,42860,24465,18395,120694,69762,50932,125870,35701
1987 - 1988,1987,175,41055,23549,17506,117997,69077,48920,123198,35478
1986 - 1987,1986,175,40195,25704,14491,117813,69893,47920,123277,36121
1985 - 1986,1985,175,40796,24286,16510,118700,71214,47486,124092,36829
1984 - 1985,1984,174,40747,24512,16235,119847,72950,46897,125698,36687
1983 - 1984,1983,173,41159,25110,16049,121201,74840,46361,127195,36389
1982 - 1983,1982,172,42034,25898,16136,121791,76252,45539,127828,34846
1981 - 1982,1981,172,42521,26710,15811,120879,77634,43245,127312,35598
1980 - 1981,1980,171,42296,27024,15272,119501,78667,40834,125397,35059
1979 - 1980,1979,169,40717,27227,13490,117297,79763,37534,122860,34590
1978 - 1979,1978,167,40479,27155,13324,116150,80375,35775,121606,33317
1977 - 1978,1977,163,39676,27748,11928,113080,81430,31650,118557,33640
1976 - 1977,1976,163,39996,28642,11354,112401,83058,29343,117451,32597
1975 - 1976,1975,163,39038,28566,10472,111047,85027,26020,116991,29961
1974 - 1975,1974,157,38074,29068,9006,105708,84425,21283,110713,28729
1973 - 1974,1973,151,37018,29554,7464,101675,85372,16303,106102,27756
1972 - 1973,1972,149,35131,29623,5508,98042,86164,11878,101707,22342
1971 - 1972,1971,147,36171,31845,4326,91225,82658,8567,94468,17006
1970 - 1971,1970,146,34289,30747,3542,78018,71336,6682,82041,17477
1969 - 1970,1969,144,29128,27025,2103,64416,59931,4485,68386,16733
1968 - 1969,1968,138,23652,21910,1742,59498,55944,3554,62779,16007
1967 - 1968,1967,136,24267,23088,1179,61084,58315,2769,64406,14738
1966 - 1967,1966,135,24077,23018,1059,59236,56716,2520,62556,13115
1965 - 1966,1965,136,24167,23103,1064,55510,53136,2374,59744,11507
1964 - 1965,1964,135,22753,21767,986,51079,49023,2056,54265,10491
1963 - 1964,1963,135,20776,19899,877,46666,44927,1739,49552,9638
