Year,US_total_pris_pop,Fed_total_pris_pop,State_total_pris_pop,NC_total_pris_pop,US_total_jail_pop,US_total_pretrial,US_adult_jail_pop,US_adult_pretrial,NC_total_jail_pop,NC_total_pretrial,NC_adult_jail_pop,NC_adult_pretrial,US_pop,US_youth_pop,US_adult_pop,US_prop_adult,NC_pop,NC_youth_pop,NC_adult_pop
1970,196441,20038,176403,5969,160863,83079,,,3384,,,,205052174,69800000,135252174,0.65959883,5084411,NA,3312968
1971,198061,20948,177113,7795,,,,,,,,,207660677,69800000,137860677,0.663874735,5201000,NA,3452812.499
1972,196092,21713,174379,8263,141600,53700,,,,,,,209896021,69400000,140496021,0.669360097,5296000,NA,3544931.074
1973,204211,22815,181396,9641,,,,,,,,,211908788,68800000,143108788,0.675332011,5382000,NA,3634636.885
1974,218466,22361,196105,10932,,,,,,,,,213853928,68000000,145853928,0.682025948,5461000,NA,3724543.703
1975,240593,24131,216462,10993,,,,,,,,,215973199,67200000,148773199,0.688850282,5535000,NA,3812786.31
1976,262833,26980,235853,11570,,,,,,,,,218035164,66300000,151735164,0.695920608,5593000,NA,3892283.963
1977,276157,28650,247507,12769,,,,,,,,,220239425,65500000,154739425,0.70259639,5668000,NA,3982316.34
1978,284149,23973,260176,12268,158783,77453,156783,,2798,,,,222584545,64800000,157784545,0.708874666,5739000,NA,4068231.708
1979,291610,20315,271295,13461,,,,,,,,,225055487,64100000,160955487,0.71518135,5802000,NA,4149482.192
1980,304692,19025,285667,14456,163994,,,,3924,,,,227224681,63700000,163524681,0.719660735,5898980,NA,3856275
1981,344283,21311,322972,14754,,,,,,,,,229465714,63200000,166265714,0.72457759,5956661,NA,4316063.071
1982,385343,21630,363713,15349,209582,119463,207853,118189,,,,,231664458,62800000,168864458,0.728918279,6019141,NA,4387461.898
1983,405501,23836,381665,14257,223551,109567,221815,113984,3496,2515,,,233791994,62600000,171191994,0.732240617,6077066,NA,4449874.559
1984,429050,24805,404245,15219,234500,,234500,116331,,,,,235824902,62500000,173324902,0.734972857,6164014,NA,4530382.981
