year	country_id	lifeExp	pop	gdpPercap
1952	1	28.801	8425333	779.4453145
1957	1	30.332	9240934	820.8530296
1962	1	31.997	10267083	853.10071
1967	1	34.02	11537966	836.1971382
1972	1	36.088	13079460	739.9811058
1977	1	38.438	14880372	786.11336
1982	1	39.854	12881816	978.0114388
1987	1	40.822	13867957	852.3959448
1992	1	41.674	16317921	649.3413952
1997	1	41.763	22227415	635.341351
2002	1	42.129	25268405	726.7340548
2007	1	43.828	31889923	974.5803384
1952	2	55.23	1282697	1601.056136
1957	2	59.28	1476505	1942.284244
1962	2	64.82	1728137	2312.888958
1967	2	66.22	1984060	2760.196931
1972	2	67.69	2263554	3313.422188
1977	2	68.93	2509048	3533.00391
1982	2	70.42	2780097	3630.880722
1987	2	72	3075321	3738.932735
1992	2	71.581	3326498	2497.437901
1997	2	72.95	3428038	3193.054604
2002	2	75.651	3508512	4604.211737
2007	2	76.423	3600523	5937.029526
1952	3	43.077	9279525	2449.008185
1957	3	45.685	10270856	3013.976023
1962	3	48.303	11000948	2550.81688
1967	3	51.407	12760499	3246.991771
1972	3	54.518	14760787	4182.663766
1977	3	58.014	17152804	4910.416756
1982	3	61.368	20033753	5745.160213
1987	3	65.799	23254956	5681.358539
1992	3	67.744	26298373	5023.216647
1997	3	69.152	29072015	4797.295051
2002	3	70.994	31287142	5288.040382
2007	3	72.301	33333216	6223.367465
1952	6	30.015	4232095	3520.610273
1957	6	31.999	4561361	3827.940465
1962	6	34	4826015	4269.276742
1967	6	35.985	5247469	5522.776375
1972	6	37.928	5894858	5473.288005
1977	6	39.483	6162675	3008.647355
1982	6	39.942	7016384	2756.953672
1987	6	39.906	7874230	2430.208311
1992	6	40.647	8735988	2627.845685
1997	6	40.963	9875024	2277.140884
2002	6	41.003	10866106	2773.287312
2007	6	42.731	12420476	4797.231267
1952	10	62.485	17876956	5911.315053
1957	10	64.399	19610538	6856.856212
1962	10	65.142	21283783	7133.166023
1967	10	65.634	22934225	8052.953021
1972	10	67.065	24779799	9443.038526
1977	10	68.481	26983828	10079.02674
1982	10	69.942	29341374	8997.897412
1987	10	70.774	31620918	9139.671389
1992	10	71.868	33958947	9308.41871
1997	10	73.275	36203463	10967.28195
2002	10	74.34	38331121	8797.640716
2007	10	75.32	40301927	12779.37964
1952	13	69.12	8691212	10039.59564
1957	13	70.33	9712569	10949.64959
1962	13	70.93	10794968	12217.22686
1967	13	71.1	11872264	14526.12465
1972	13	71.93	13177000	16788.62948
1977	13	73.49	14074100	18334.19751
1982	13	74.74	15184200	19477.00928
1987	13	76.32	16257249	21888.88903
1992	13	77.56	17481977	23424.76683
1997	13	78.83	18565243	26997.93657
2002	13	80.37	19546792	30687.75473
2007	13	81.235	20434176	34435.36744
1952	14	66.8	6927772	6137.076492
1957	14	67.48	6965860	8842.59803
1962	14	69.54	7129864	10750.72111
1967	14	70.14	7376998	12834.6024
1972	14	70.63	7544201	16661.6256
1977	14	72.17	7568430	19749.4223
1982	14	73.18	7574613	21597.08362
1987	14	74.94	7578903	23687.82607
1992	14	76.04	7914969	27042.01868
1997	14	77.51	8069876	29095.92066
2002	14	78.98	8148312	32417.60769
2007	14	79.829	8199783	36126.4927
1952	17	50.939	120447	9867.084765
1957	17	53.832	138655	11635.79945
1962	17	56.923	171863	12753.27514
1967	17	59.923	202182	14804.6727
1972	17	63.3	230800	18268.65839
1977	17	65.593	297410	19340.10196
1982	17	69.052	377967	19211.14731
1987	17	70.75	454612	18524.02406
1992	17	72.601	529491	19035.57917
1997	17	73.925	598561	20292.01679
2002	17	74.795	656397	23403.55927
2007	17	75.635	708573	29796.04834
1952	18	37.484	46886859	684.2441716
1957	18	39.348	51365468	661.6374577
1962	18	41.216	56839289	686.3415538
1967	18	43.453	62821884	721.1860862
1972	18	45.252	70759295	630.2336265
1977	18	46.923	80428306	659.8772322
1982	18	50.009	93074406	676.9818656
1987	18	52.819	103764241	751.9794035
1992	18	56.018	113704579	837.8101643
1997	18	59.412	123315288	972.7700352
2002	18	62.013	135656790	1136.39043
2007	18	64.062	150448339	1391.253792
1952	21	68	8730405	8343.105127
1957	21	69.24	8989111	9714.960623
1962	21	70.25	9218400	10991.20676
1967	21	70.94	9556500	13149.04119
1972	21	71.44	9709100	16672.14356
1977	21	72.8	9821800	19117.97448
1982	21	73.93	9856303	20979.84589
1987	21	75.35	9870200	22525.56308
1992	21	76.46	10045622	25575.57069
1997	21	77.53	10199787	27561.19663
2002	21	78.32	10311970	30485.88375
2007	21	79.441	10392226	33692.60508
1952	23	38.223	1738315	1062.7522
1957	23	40.358	1925173	959.6010805
1962	23	42.618	2151895	949.4990641
1967	23	44.885	2427334	1035.831411
1972	23	47.014	2761407	1085.796879
1977	23	49.19	3168267	1029.161251
1982	23	50.904	3641603	1277.897616
1987	23	52.337	4243788	1225.85601
1992	23	53.919	4981671	1191.207681
1997	23	54.777	6066080	1232.975292
2002	23	54.406	7026113	1372.877931
2007	23	56.728	8078314	1441.284873
1952	26	40.414	2883315	2677.326347
1957	26	41.89	3211738	2127.686326
1962	26	43.428	3593918	2180.972546
1967	26	45.032	4040665	2586.886053
1972	26	46.714	4565872	2980.331339
1977	26	50.023	5079716	3548.097832
1982	26	53.859	5642224	3156.510452
1987	26	57.251	6156369	2753.69149
1992	26	59.957	6893451	2961.699694
1997	26	62.05	7693188	3326.143191
2002	26	63.883	8445134	3413.26269
2007	26	65.554	9119152	3822.137084
1952	28	53.82	2791000	973.5331948
1957	28	58.45	3076000	1353.989176
1962	28	61.93	3349000	1709.683679
1967	28	64.79	3585000	2172.352423
1972	28	67.45	3819000	2860.16975
1977	28	69.86	4086000	3528.481305
1982	28	70.69	4172693	4126.613157
1987	28	71.14	4338977	4314.114757
